,CITY,STABBR,SAT_AVG,INSTNM,ADM_RATE,MTHCMP1,TUITIONFEE_IN
3148,Wynnewood,PA,,Saint Charles Borromeo Seminary-Overbrook,1.0,,20655.0
3149,Pittsburgh,PA,,South Hills Beauty Academy,,13.0,
3150,State College,PA,,South Hills School of Business & Technology,0.9931,,16608.0
3151,Bethlehem,PA,,St Lukes Hospital School of Nursing,,,
3152,Stroudsburg,PA,,The Beauty School,,9.0,
3153,Selinsgrove,PA,,Susquehanna University,0.6953,,45470.0
3154,Swarthmore,PA,1473.0,Swarthmore College,0.107,,50822.0
3155,Lancaster,PA,,Thaddeus Stevens College of Technology,0.8893,,7830.0
3156,Philadelphia,PA,,Talmudical Yeshiva of Philadelphia,0.8444,,8900.0
3157,Philadelphia,PA,,Temple University,0.5667,,16658.0
3158,Blue Bell,PA,,Theological Seminary of the Reformed Episcopal Church,,,
3159,Greenville,PA,1012.0,Thiel College,0.6287,,30830.0
3160,Philadelphia,PA,,Thomas Jefferson University,,,
3161,Erie,PA,,Fortis Institute-Erie,,,13157.0
3162,Erie,PA,,Triangle Tech Inc-Erie,,,16408.0
3163,Pittsburgh,PA,,Triangle Tech Inc-Pittsburgh,,,16640.0
3164,Greensburg,PA,,Triangle Tech Inc-Greensburg,,,16594.0
3165,Falls Creek,PA,,Triangle Tech Inc-Dubois,,,16646.0
3166,Ambridge,PA,,Trinity Episcopal School for Ministry,,,
3167,Collegeville,PA,1234.0,Ursinus College,0.7821,,50360.0
3168,Phoenixville,PA,,University of Valley Forge,0.5321,,21370.0
3169,Wayne,PA,,Valley Forge Military College,,,29975.0
3170,Sharon Hill,PA,,Venus Beauty Academy,,11.0,
3171,Villanova,PA,1409.0,Villanova University,0.36,,51284.0
3172,Washington,PA,,Washington Hospital School of Nursing,,,
3173,Washington,PA,,Washington Hospital School of Radiologic Technology,,,11600.0
3174,Washington,PA,,Washington & Jefferson College,0.4785,,46628.0
3175,Waynesburg,PA,1065.0,Waynesburg University,0.9534,,24010.0
3176,Allentown,PA,,Welder Training and Testing Institute,,9.0,
3177,West Chester,PA,1131.0,West Chester University of Pennsylvania,0.685,,10111.0
3178,Pittsburgh,PA,,Western Pennsylvania Hospital School of Nursing,0.5769,,9255.0
3179,Pittsburgh,PA,,Pittsburgh Career Institute,,,24919.0
3180,New Wilmington,PA,1124.0,Westminster College,0.7248,,36276.0
3181,Glenside,PA,,Westminster Theological Seminary,,,
3182,Youngwood,PA,,Westmoreland County Community College,,,5190.0
3183,Chester,PA,1104.0,Widener University,0.6543,,44166.0
3184,Wilkes-Barre,PA,1137.0,Wilkes University,0.7531,,34896.0
3185,Chambersburg,PA,1032.0,Wilson College,0.5877,,24452.0
3186,Scranton,PA,,Yeshivath Beth Moshe,0.9167,,9200.0
3187,York,PA,1101.0,York College of Pennsylvania,0.6990000000000001,,19430.0
3188,York,PA,,YTI Career Institute-York,,21.0,
3189,Providence,RI,1494.0,Brown University,0.0849,,53419.0
3190,Smithfield,RI,,Bryant University,0.7298,,42109.0
3191,Providence,RI,,Johnson & Wales University-Providence,0.8753,,31508.0
3192,East Greenwich,RI,,New England Institute of Technology,,,28656.0
3193,Pawtucket,RI,,New England Tractor Trailer Training School of Rhode Island,,6.0,
3194,Providence,RI,1274.0,Providence College,0.5152,,48764.0
3195,Providence,RI,984.0,Rhode Island College,0.7359,,8776.0
3196,Warwick,RI,,Community College of Rhode Island,,,4564.0
3197,Kingston,RI,1152.0,University of Rhode Island,0.7006,,13792.0
3198,Providence,RI,1276.0,Rhode Island School of Design,0.3193,,48370.0
3199,Bristol,RI,,Roger Williams University,0.8229,,33336.0
3200,Newport,RI,,Salve Regina University,0.7189,,38986.0
3201,North Providence,RI,,St Joseph School of Nursing,,,18263.0
3202,Providence,RI,,Empire Beauty School-Warwick,,9.0,
3203,Haverhill,MA,,Northpoint Bible College,,,12054.0
3204,Graniteville,SC,,Aiken Technical College,,,4468.0
3205,Columbia,SC,,Allen University,,,13140.0
3206,Anderson,SC,1149.0,Anderson University,0.7907,,26970.0
3207,Charleston,SC,1061.0,Charleston Southern University,0.5632,,24840.0
3208,Beaufort,SC,,Technical College of the Lowcountry,,,4420.0
3209,Columbia,SC,,Benedict College,,,19958.0
3210,Greenville,SC,1146.0,Bob Jones University,0.8616,,16500.0
3211,Central,SC,,Southern Wesleyan University,0.5257,,24700.0
3212,Charleston,SC,,Charleston Cosmetology Institute,,13.0,
3213,Charleston,SC,1176.0,College of Charleston,0.8045,,12422.0
3214,Greenwood,SC,,Charzanne Beauty College,,13.0,
3215,Cheraw,SC,,Northeastern Technical College,,,4080.0
3216,Charleston,SC,1123.0,Citadel Military College of South Carolina,0.8107,,12056.0
3217,Orangeburg,SC,958.0,Claflin University,0.4117,,16480.0
3218,Clemson,SC,1338.0,Clemson University,0.4718,,15116.0
3219,Rock Hill,SC,,Clinton College,,,7949.0
3220,Hartsville,SC,999.0,Coker College,0.617,,28684.0
3221,Columbia,SC,1008.0,Columbia International University,0.2825,,22390.0
3222,Columbia,SC,1009.0,Columbia College,0.8682,,19500.0
3223,Spartanburg,SC,1112.0,Converse College,0.7126,,17680.0
3224,Denmark,SC,,Denmark Technical College,,,5700.0
3225,Due West,SC,1061.0,Erskine College,0.5452,,34560.0
3226,Florence,SC,,Florence-Darlington Technical College,,,4270.0
3227,Anderson,SC,,Forrest College,,,10525.0
3228,Florence,SC,1003.0,Francis Marion University,0.6005,,10742.0
3229,Greenville,SC,1319.0,Furman,0.6118,,48348.0
3230,Greenville,SC,,Greenville Technical College,,,4422.0
3231,Conway,SC,,Horry-Georgetown Technical College,,,4108.0
3232,North Augusta,SC,,Kenneth Shuler School of Cosmetology-North Augusta,,13.0,
3233,Columbia,SC,,Kenneth Shuler School of Cosmetology and Nails-Columbia,,13.0,
3234,Greenwood,SC,1022.0,Lander University,0.4757,,11700.0
